Language	advancedTongueRoot	anterior	approximant	back	click	consonantal	constrictedGlottis	continuant	coronal	delayedRelease	distributed	dorsal	epilaryngealSource	fortis	front	high	labial	labiodental	lateral	long	low	loweredLarynxImplosive	nasal	periodicGlottalSource	raisedLarynxEjective	retractedTongueRoot	round	short	sonorant	spreadGlottis	stress	strident	syllabic	tap	tense	tone	trill
sakirabiá	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
kadugli	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
kwambi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
mocoví	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
tupinambá	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
wintu	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	-
frafra	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
nchane	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
zaiwa	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
khmu?	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
ejagham de l'ouest	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
xiamen	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
mosetén de santa ana	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
saanich	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
kuteb	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
selepet	-	-	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
arára, pará	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
khezha	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
bozo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
bobo (boomu)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
chandangs and byangs	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
emai	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
wiyot	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
chulupí	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	-	-	+	+	-	-	-	-
kunjen	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	-	+	-	+	-	+
waama	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
ocaina	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
fang	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
mokpwe	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
kuot	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
ngemba	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
mianmin	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
haya	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
yaouré	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
günün yajich	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	+
dyirbal	-	+	+	+	-	+	-	+	+	-	+	+	-	-	+	+	+	-	+	-	+	-	+	-	-	-	+	-	+	-	-	-	+	-	-	-	+
ika	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
acholi	-	+	+	+	-	+	-	+	+	-	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	-	+	+	+	-	-
mbay	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
bassar 	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
dioula	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
namia	-	-	+	+	-	+	-	+	+	-	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	-	+	-	+	-	+
bashkir	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
baniwa (central)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
afar	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
cubeo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
bongo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
weh	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
nimboran	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	-	-	+	+	-	+	+	-	-	-	-
akawaio	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
temne	-	-	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
huitoto, minica	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
reβe	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
bassossi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
tzotzil, chamula	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	+
mambila (nigeria)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
low german	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
chiriguano (chané dialect)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
gimira	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	+
nyole	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
diegueno	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
téén 	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	+	+	-	+	+	-	+	+	-	+	-	+
guɗe	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
tadaksahak	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	+	+	-	+	+	-	+	+	+	+	-	+
totonac	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
ivatan	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
hindi-urdu	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
holoholo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
nankina	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
koasati	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
cebuano	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
fur	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
bila	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
xwela	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
kurukh	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
cheremis	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
cajamarca quechua	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
lyélé	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
ngbaka	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
amo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
bakairí (eastern dialect)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
mỹky	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
arapesh	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
ewe	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
eggon	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
berom	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
awiya	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
waimiri-atroarí	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
mbukushu	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
zway	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
dime	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	-	+	+	+	+	-	-
bubia	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
nouni	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
emberá-chamí	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	+	+	+	-	-	+	-	+	-	-	+	+	+	-	-	+
apatani	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
kurdish	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	+	+	-	+	-	-	+	+	+	+	-	+
kambe	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
saxwe, gbe	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
yanomamö	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
dompo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
patep	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
macedonian	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
chontal	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	+	+	-	+
mundari	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
ngiyambaa	-	+	+	+	-	+	-	+	+	-	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	-	+	+	-	-	-
loniu	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
icelandic	-	-	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	+	+	+	-	+	+	-	+	-	+
yom 	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
yekwana	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
oluta popoluca; olutec	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
nzema	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
zapotec	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	+
indonesian	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
gban	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
yãroamë of serra do pacu/ajarani	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
twampa	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	+	-	+	-	+	+	-	+	+	-	-	-	+
kwakiutl	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	-
catalan	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	+
gamo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	-	+	+	+	+	-	-
moroccan arabic	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	+	+	+	+	+	-	+	+	+	+	-	+
ifɛ̀	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
yukaghir (kolyma)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
sema	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
cha'palaa	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
fuzhou	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
huallaga (huanuco) quechua	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
shabo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
sundanese	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
amharic	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	+	+	-	+
guajajára	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
xhosa	-	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	+	-	+	-	+	+	-	+	+	-	+	-	-
xerénte	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
nheengatú	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
newari	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
bhili	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	+	+	+	-	+	+	+	+	-	-
inga (jungle dialect)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
wayúu	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
asmat	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
lendu	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
ache	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
shina	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
idu	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
kattunaika	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	+
vaagri boli	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
gbari	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	+	-	+	-	+	+	-	+	+	-	+	-	-
bisa	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
sabaot	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
emberá-baudó	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	+	-	-	+
binandere	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	-	+	+	-	-	-
abure	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
mundabli	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
yerukala	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
karirí-xocó (dzubukuá dialect)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
bruu	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
fasu	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
mabaan	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	-	+	-	+	-	+
kumauni	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	-	+	+	+	-	-
fula (nigeria)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
movima	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
hawaiian	-	-	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
siamou	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
mundani	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
yolngu	-	+	+	+	-	+	+	+	+	-	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	-	+	+	+	-	+
russian	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
tinputz	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
kadiweu	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
syan	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
kokama-kokamilla	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
blang; plang; bulang; pulang; pula; kawa; k'ala; kontoi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
north junín quechua (tarma dialect)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
mauritian creole	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
cham	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
kurripako; baniwa; baniwa (icana)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
